quantity,baseline,stage3,status,note
F_claim_counts_sample_nrow,465,465,MATCH,exact
F_claim_counts_sample_sha256,4b452d7f24d24768de223b8d0dd760cdc5b1eaeeccbfd9eb484a511dded6751c,4b452d7f24d24768de223b8d0dd760cdc5b1eaeeccbfd9eb484a511dded6751c,MATCH,exact
F_claim_counts_sample_sum_claims,31575.0,31575,MATCH,reldiff=0
F_claim_counts_sample_sum_claims_c,31208.0,31208,MATCH,reldiff=0
F_pure_schedules_sample_nrow,465,465,MATCH,exact
F_pure_schedules_sample_sha256,d27c1d111b9708d8a59e3036e67e59293577bb1040dde7a29e6413162b1ce1ac,d27c1d111b9708d8a59e3036e67e59293577bb1040dde7a29e6413162b1ce1ac,MATCH,exact
F_pure_schedules_sample_sum_claims,31575.0,31575,MATCH,reldiff=0
F_pure_schedules_sample_sum_claims_L,30235.3353,30235.3353,MATCH,exact
F_pure_schedules_sample_sum_claims_S,31958.6647,31958.6647,MATCH,exact
F_pure_schedules_sample_sum_claims_c,31208.0,31208,MATCH,reldiff=0
WMVPF_actual,0.2126,0.2126,MATCH,exact
WMVPF_actual_I4_netcost_lastrow,1899292380.16178,1899292380.16178,MATCH,exact
WMVPF_actual_I4_welfare_lastrow,463064118.453698,463064118.453698,MATCH,exact
WMVPF_bL_cumulative,1.5591,1.5591,MATCH,exact
WMVPF_bL_perqtr_at_T,0.4253,0.4253,MATCH,exact
WMVPF_bS_cumulative,-2.4306,-2.4306,MATCH,exact
WMVPF_bS_perqtr_at_T,0.3778,0.3778,MATCH,exact
cons_beneficiaries,1536.4,1536.4,MATCH,exact
cons_population,1473.1,1473.1,MATCH,exact
deck_main_pdf_pages,142,142,MATCH,exact
eta,0.8281,0.8281,MATCH,exact
gamma_CRRA,4,4,MATCH,exact
policy_elasticity_H2_DDIPW_qtr3,-1574.960,-1574.95997769676,MATCH,reldiff=1.42e-08
policy_elasticity_H2_DD_qtr0,-1234.869,-1234.86913989299,MATCH,reldiff=1.13e-07
policy_elasticity_H2_DD_qtr3,-1347.097,-1347.09708940015,MATCH,reldiff=6.64e-08
quarters_analyzed,13,13,MATCH,exact
